timestamp,x (mm),y (mm),z (mm)
1741709791.5582378,-586.87425657269,-120.40405909824749,173.92212955304782
1741709791.5691786,-587.4911650061548,-117.35614880214042,173.93777424908728
1741709791.5801845,-588.1037660089511,-114.26960243932982,173.92212955304782
1741709791.5911856,-588.7749189758478,-110.80566913152472,173.929951906469
1741709791.6022797,-589.4260363271442,-107.3386753788428,173.929951906469
1741709791.6132405,-589.9968151669916,-104.1819335914729,173.92212955304782
1741709791.6242418,-590.5625515256006,-100.95140485957003,173.92212955304782
1741709791.635187,-591.1066517805642,-97.77171136967397,173.929951906469
1741709791.6461806,-591.6708206118599,-94.34970719232658,173.929951906469
1741709791.65729,-592.1993687870768,-91.00290142096142,173.929951906469
1741709791.6682565,-592.6889149168295,-87.79034061504298,173.93777424908728
1741709791.6792645,-593.1802437078177,-84.46720590771633,173.929951906469
1741709791.6901817,-593.6356715992291,-81.23787687519646,173.929951906469
1741709791.7011817,-594.1190720910921,-77.70001875670414,173.92212955304782
1741709791.7121813,-594.5772280355574,-74.21189222529199,173.929951906469
1741709791.7232797,-594.9711663828293,-70.9870925341319,173.92212955304782
1741709791.7341897,-595.3607408479303,-67.71750231397007,173.929951906469
1741709791.7452452,-595.700793271277,-64.66245941725758,173.929951906469
1741709791.7561886,-596.0691503169744,-61.262130666861594,173.92212955304782
1741709791.7671838,-596.411748131571,-57.962253882185166,173.929951906469
1741709791.7782183,-596.7164391720825,-54.6849562766715,173.929951906469
1741709791.7892435,-597.0178319210945,-51.399393415911675,173.929951906469
1741709791.8002326,-597.2847321879136,-48.3053228737746,173.92212955304782
1741709791.8111606,-597.5471241915711,-44.93905606943834,173.929951906469
1741709791.8221588,-597.7989551314708,-41.582813335824255,173.929951906469
1741709791.8331504,-598.0034489732622,-38.46232655593903,173.929951906469
1741709791.8442225,-598.1921805977736,-35.41171499051161,173.929951906469
1741709791.8552177,-598.3628155837373,-32.403901315787664,173.929951906469
1741709791.8662398,-598.5412757518909,-29.0074729071671,173.92212955304782
1741709791.877165,-598.7007485795423,-25.501132040340167,173.93777424908728
1741709791.8881607,-598.8382070037541,-22.157793528136523,173.929951906469
1741709791.899231,-598.9631279388436,-18.908671518217275,173.92212955304782
1741709791.9101624,-599.0510733060389,-15.710285271701565,173.929951906469
1741709791.9211652,-599.1242185909609,-12.257682418457193,173.92212955304782
1741709791.9322305,-599.1967870613996,-8.819084372992208,173.92212955304782
1741709791.943243,-599.2440767722873,-5.569217010701024,173.929951906469
1741709791.954222,-599.2609977917143,-2.4169784057189645,173.929951906469
1741709791.965156,-599.2790168754394,0.8341479503701237,173.92212955304782
1741709791.9761543,-599.2639449800503,4.379966937360777,173.929951906469
1741709791.987159,-599.2290475691506,7.810788231268148,173.929951906469
1741709791.998235,-599.180632281174,11.145510353453801,173.929951906469
1741709792.0092218,-599.1186003214772,14.450595578074683,173.92212955304782
1741709792.0202172,-599.0285241023971,17.649357945691307,173.92212955304782
1741709792.0312226,-598.9157040891076,21.01093313962501,173.92212955304782
1741709792.0422459,-598.787508286314,24.392068922426887,173.929951906469
1741709792.053166,-598.6486499752846,27.68152844986129,173.92212955304782
1741709792.0641646,-598.4987879859248,31.00295487914957,173.929951906469
1741709792.075153,-598.3120560213592,34.257942873151535,173.93777424908728
1741709792.0862484,-598.1122417858068,37.665746864065014,173.93777424908728
1741709792.0972052,-597.8788784749125,41.147703610311254,173.929951906469
1741709792.108246,-597.6570770080324,44.42285836240511,173.929951906469
1741709792.1191432,-597.4131903731651,47.59046134497878,173.929951906469
1741709792.1301575,-597.1726138276929,50.57107333866031,173.929951906469
1741709792.141215,-596.8815948358792,53.8491763079886,173.929951906469
1741709792.1521966,-596.5583115112368,57.3197436293442,173.929951906469
1741709792.1631958,-596.231647291276,60.755407469791805,173.929951906469
1741709792.1741352,-595.8928028855958,63.95579369729823,173.92212955304782
1741709792.1851342,-595.5546679802092,67.0244242597403,173.93777424908728
1741709792.1961305,-595.1666302412727,70.43346921196583,173.929951906469
1741709792.207202,-594.7476929842499,73.91902026042105,173.929951906469
1741709792.2182028,-594.3302102938939,77.14013635136574,173.929951906469
1741709792.2291298,-593.9154793126944,80.30314296935911,173.929951906469
1741709792.2401628,-593.491749666396,83.40937335461669,173.929951906469
1741709792.2511435,-593.0016807456619,86.82964506053752,173.929951906469
1741709792.262193,-592.4915203297198,90.29847125650859,173.929951906469
1741709792.2731934,-591.996470230486,93.48518397173477,173.93777424908728
1741709792.2841938,-591.4826330375641,96.60581542312907,173.929951906469
1741709792.2951314,-590.9666898634408,99.76670234022234,173.929951906469
1741709792.3061287,-590.3963402695179,103.06363619690961,173.92212955304782
1741709792.317135,-589.8104906098838,106.41533378438734,173.92212955304782
1741709792.3281991,-589.2328758849304,109.54456914633097,173.92212955304782
1741709792.3391962,-588.6159544873564,112.8099382046597,173.929951906469
1741709792.3501759,-588.012345788281,115.98046245391505,173.93777424908728
1741709792.3611307,-587.3387630286035,119.34523080252724,173.929951906469
1741709792.3721304,-586.6603854462636,122.67908742085594,173.93777424908728
1741709792.383203,-585.9777905514043,125.88000493211872,173.929951906469
1741709792.3942275,-585.2830910256273,129.13728292911986,173.92212955304782
1741709792.405196,-584.5952921970943,132.23380112043725,173.93777424908728
1741709792.4161303,-583.852370015489,135.4967906870266,173.92212955304782
1741709792.4271324,-583.0514388307386,138.92167759509715,173.92212955304782
1741709792.4381256,-582.2608752579357,142.21788862174623,173.92212955304782
1741709792.4491904,-581.4588197290723,145.4610751265601,173.929951906469
1741709792.4601846,-580.6862754214776,148.5507024275741,173.929951906469
1741709792.4711194,-579.8187678422536,151.86908755158782,173.929951906469
1741709792.4821086,-578.941717718749,155.2132171060041,173.929951906469
1741709792.4931235,-578.0650780982492,158.46219152456018,173.929951906469
1741709792.504197,-577.213675753029,161.568885230043,173.929951906469
1741709792.5151718,-576.3660063483412,164.52188532059145,173.92212955304782
1741709792.526109,-575.4081395726726,167.90240679262632,173.92212955304782
1741709792.5371234,-574.4345902275455,171.17297224874807,173.929951906469
1741709792.548105,-573.5218598715417,174.25000988450864,173.93777424908728
1741709792.5591383,-572.5847194268705,177.30518541237223,173.93777424908728
1741709792.5701735,-571.6354633069813,180.33028190854066,173.929951906469
1741709792.581204,-570.6054740114157,183.5465220677543,173.929951906469
1741709792.592119,-569.5913474841016,186.69930907083454,173.92212955304782
1741709792.6030867,-568.61507356608,189.6391615591104,173.929951906469
1741709792.6141121,-567.643249010711,192.54367748101973,173.92212955304782
1741709792.6251824,-566.6264389453914,195.5424794343727,173.929951906469
1741709792.636171,-565.5394169040312,198.66378423746798,173.929951906469
1741709792.6471279,-564.4502079377758,201.7516676417572,173.91430718883095
1741709792.6581068,-563.3765650749265,204.72981637041153,173.93777424908728
1741709792.6691275,-562.2970353153241,207.7145078884432,173.92212955304782
1741709792.6801343,-561.1811142223535,210.7226731263337,173.929951906469
1741709792.6911807,-560.0432282495151,213.72849697972296,173.929951906469
1741709792.7021732,-558.8177071947862,216.91347351039542,173.929951906469
1741709792.713152,-557.5996393615115,220.0252929952622,173.929951906469
1741709792.7241776,-556.4172504873909,223.0353547415192,173.92212955304782
1741709792.7351527,-555.142673645475,226.18915505511504,173.93777424908728
1741709792.7460818,-553.8797323390993,229.28962693194785,173.92212955304782
1741709792.7570877,-552.5032300566945,232.58532407973854,173.92212955304782
1741709792.7681153,-551.1276642809603,235.8147788756655,173.92212955304782
1741709792.779161,-549.8452186084016,238.8233949810247,173.92212955304782
1741709792.790145,-548.5556715882942,241.76028414834207,173.929951906469
1741709792.801082,-547.2209053253739,244.78583383038745,173.93777424908728
1741709792.812087,-545.7676048975336,248.00020133296866,173.92212955304782
1741709792.8230903,-544.3209468774983,251.1802920114255,173.929951906469
