timestamp,positions
1768095274.9961317,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.0032659,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991027212712765]"
1768095275.0102296,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.0171704,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344105810543329, 0.3220640314721568, 0.2991330226534564]"
1768095275.0244417,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.0313373,"[0.108111970029014, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.0384653,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.045288,"[0.108111970029014, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.0522459,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095275.059334,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.32203371125754543, 0.2991330226534564]"
1768095275.0663393,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.073181,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.0801675,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.087147,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.0942397,"[0.108111970029014, 0.14779442660971337, 0.7123758151806271, 0.5345014663684413, 0.3220640314721568, 0.2991027212712765]"
1768095275.1012359,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.1084242,"[0.108111970029014, 0.1478247185756776, 0.7124060977303757, 0.5344711838186929, 0.32203371125754543, 0.2991027212712765]"
