timestamp,model_name,goal_image,curr_j0,curr_j1,curr_j2,curr_j3,curr_j4,curr_j5,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,cmd_j5,delta_j0,delta_j1,delta_j2,delta_j3,delta_j4,delta_j5
1769212362.0521314,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1308894157409668,-1.6443984508514404,-0.7319746613502502,1.0166584253311157,0.7349131107330322,1.8783576488494873,-1.168929100036621,-1.6455543041229248,-0.7201618552207947,1.0071943998336792,0.7190970182418823,1.8682280778884888,-0.038039680570364,-0.001155797392129898,0.011812790296971798,-0.009464075788855553,-0.015816112980246544,-0.010129563510417938
1769212362.1493006,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1353423595428467,-1.6467310190200806,-0.7247045636177063,1.0104182958602905,0.7287940382957458,1.874510645866394,-1.1729743480682373,-1.648685097694397,-0.7127476930618286,1.0018662214279175,0.713162362575531,1.8646554946899414,-0.03763202205300331,-0.001954127801582217,0.01195684913545847,-0.00855203066021204,-0.015631696209311485,-0.009855096228420734
1769212362.2479837,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1418551206588745,-1.6493966579437256,-0.7168286442756653,1.003844976425171,0.7226144671440125,1.8706029653549194,-1.1790969371795654,-1.6521799564361572,-0.7048435807228088,0.9950012564659119,0.7074697017669678,1.8615942001342773,-0.0372418574988842,-0.002783305710181594,0.011985059827566147,-0.008843695744872093,-0.015144762583076954,-0.009008815512061119
1769212362.3611155,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1474591493606567,-1.6523956060409546,-0.7095282673835754,0.9979380369186401,0.7170407772064209,1.8672102689743042,-1.1847070455551147,-1.6553181409835815,-0.6973539590835571,0.9883168935775757,0.7025031447410583,1.8591521978378296,-0.03724789246916771,-0.002922481158748269,0.012174316681921482,-0.00962112843990326,-0.014537629671394825,-0.008058127015829086
1769212362.4605336,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1509426832199097,-1.6556973457336426,-0.7025611996650696,0.9927580952644348,0.711557924747467,1.864605188369751,-1.1886217594146729,-1.6583796739578247,-0.6895710825920105,0.9822610020637512,0.6979416012763977,1.858162522315979,-0.037679076194763184,-0.0026822900399565697,0.012990116141736507,-0.010497101582586765,-0.01361633837223053,-0.006442633457481861
1769212362.5600798,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1550624370574951,-1.6587568521499634,-0.695654571056366,0.9873964190483093,0.7063325047492981,1.862257480621338,-1.1930603981018066,-1.661149024963379,-0.6821649074554443,0.9755738377571106,0.6935155987739563,1.857385516166687,-0.037997953593730927,-0.0023922116961330175,0.013489690609276295,-0.01182258129119873,-0.01281691249459982,-0.004871970508247614
1769212362.6508482,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1598788499832153,-1.6620889902114868,-0.6880816221237183,0.9811260104179382,0.7018038630485535,1.860970139503479,-1.1980706453323364,-1.6645257472991943,-0.6749861240386963,0.9671267867088318,0.6898355484008789,1.8579168319702148,-0.0381917878985405,-0.0024368162266910076,0.01309552788734436,-0.01399922464042902,-0.011968291364610195,-0.0030532979872077703
1769212362.75145,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.164846658706665,-1.665481686592102,-0.6801450848579407,0.9728865623474121,0.6966845989227295,1.8605763912200928,-1.2030158042907715,-1.6678766012191772,-0.6677576303482056,0.9567113518714905,0.685347855091095,1.8587467670440674,-0.03816913068294525,-0.002394943730905652,0.012387446127831936,-0.01617519184947014,-0.011336753144860268,-0.0018296076450496912
1769212362.850768,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.170693039894104,-1.6687835454940796,-0.6719663143157959,0.9647683501243591,0.6930646896362305,1.8603794574737549,-1.2089169025421143,-1.671179175376892,-0.6600655317306519,0.946884036064148,0.6822019219398499,1.8593121767044067,-0.03822380304336548,-0.0023956401273608208,0.011900787241756916,-0.017884325236082077,-0.010862787254154682,-0.001067334320396185
1769212362.9504993,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1765999794006348,-1.6722065210342407,-0.6639389395713806,0.9546205401420593,0.6890206933021545,1.861121654510498,-1.214574933052063,-1.6747055053710938,-0.6521179676055908,0.9353582859039307,0.6788419485092163,1.8607462644577026,-0.037974972277879715,-0.0024990439414978027,0.01182094682008028,-0.019262243062257767,-0.01017872616648674,-0.00037541784695349634
