time,j0,j1,j2,j3,j4,j5,x,y,z
14.7128,-0.56876,-1.50267,-0.05038,-0.62220,-0.97274,3.17221,0.37212,0.54384,0.30573
14.8120,-0.57162,-1.50478,-0.04752,-0.62409,-0.97856,3.16466,0.37371,0.54258,0.30529
14.9115,-0.57350,-1.50606,-0.04526,-0.62692,-0.98485,3.15705,0.37477,0.54164,0.30519
15.0131,-0.57591,-1.50829,-0.04318,-0.63200,-0.98752,3.15323,0.37620,0.54059,0.30453
15.1106,-0.57738,-1.50842,-0.03805,-0.63473,-0.99147,3.14857,0.37709,0.53993,0.30626
15.2096,-0.57879,-1.50999,-0.03235,-0.63789,-0.99508,3.14438,0.37796,0.53930,0.30727
15.3105,-0.57927,-1.51140,-0.02691,-0.64103,-0.99887,3.13972,0.37831,0.53901,0.30828
15.4131,-0.57972,-1.51526,-0.02180,-0.64372,-1.00161,3.13524,0.37865,0.53877,0.30758
15.5121,-0.57875,-1.51812,-0.01523,-0.64505,-1.00277,3.13123,0.37821,0.53916,0.30806
15.6124,-0.57924,-1.52183,-0.00807,-0.64634,-1.00344,3.12758,0.37855,0.53902,0.30820
15.7114,-0.58002,-1.52388,-0.00203,-0.64764,-1.00377,3.12458,0.37904,0.53876,0.30904
15.8146,-0.58174,-1.52559,0.00309,-0.64996,-1.00441,3.12138,0.38006,0.53810,0.30979
15.9112,-0.58272,-1.52750,0.00799,-0.65201,-1.00505,3.11804,0.38066,0.53772,0.31032
16.0107,-0.58452,-1.52899,0.01172,-0.65582,-1.00554,3.11618,0.38173,0.53698,0.31076
16.1115,-0.58511,-1.53109,0.01639,-0.65928,-1.00561,3.11398,0.38216,0.53674,0.31113
16.2119,-0.58564,-1.53388,0.02176,-0.66132,-1.00724,3.11198,0.38250,0.53648,0.31123
16.3117,-0.58549,-1.53744,0.02768,-0.66251,-1.01010,3.10761,0.38246,0.53646,0.31098
16.4117,-0.58649,-1.54094,0.03203,-0.66576,-1.01442,3.10231,0.38306,0.53589,0.31022
16.5116,-0.58850,-1.54446,0.03702,-0.66891,-1.01910,3.09671,0.38419,0.53493,0.30967
16.6234,-0.58915,-1.54741,0.04178,-0.67213,-1.02140,3.09207,0.38462,0.53456,0.30946
16.7237,-0.58931,-1.54930,0.04652,-0.67329,-1.02114,3.09041,0.38475,0.53451,0.30995
16.8110,-0.58979,-1.55106,0.05138,-0.67554,-1.02129,3.08726,0.38506,0.53430,0.31058
16.9116,-0.59018,-1.55227,0.05732,-0.67752,-1.02208,3.08303,0.38532,0.53410,0.31194
17.0115,-0.59010,-1.55389,0.06177,-0.68092,-1.02319,3.07848,0.38535,0.53404,0.31253
17.1120,-0.58964,-1.55571,0.06559,-0.68357,-1.02482,3.07347,0.38516,0.53412,0.31273
17.2137,-0.59065,-1.55868,0.07099,-0.68530,-1.02635,3.06782,0.38573,0.53365,0.31272
17.3108,-0.59251,-1.56090,0.07751,-0.68728,-1.02873,3.06357,0.38674,0.53281,0.31359
17.4118,-0.59494,-1.56290,0.08412,-0.68803,-1.02983,3.05925,0.38804,0.53181,0.31464
17.5102,-0.59643,-1.56367,0.09065,-0.68746,-1.03269,3.05579,0.38878,0.53111,0.31640
17.6105,-0.59942,-1.56662,0.09833,-0.68667,-1.03614,3.05103,0.39030,0.52981,0.31712
17.7104,-0.60181,-1.56952,0.10461,-0.68565,-1.04051,3.04682,0.39149,0.52871,0.31734
17.8121,-0.60480,-1.57300,0.11139,-0.68517,-1.04340,3.04198,0.39302,0.52741,0.31741
17.9115,-0.60677,-1.57536,0.11865,-0.68566,-1.04347,3.03919,0.39403,0.52658,0.31846
18.0115,-0.60874,-1.57792,0.12583,-0.68623,-1.04259,3.03694,0.39505,0.52577,0.31938
18.1116,-0.61025,-1.58007,0.13272,-0.68503,-1.04406,3.03394,0.39577,0.52508,0.32037
18.2120,-0.61253,-1.58302,0.14021,-0.68525,-1.04534,3.03105,0.39691,0.52406,0.32108
18.3114,-0.61581,-1.58496,0.14658,-0.68315,-1.04715,3.02767,0.39851,0.52265,0.32200
18.4129,-0.61911,-1.58803,0.15288,-0.68336,-1.04804,3.02466,0.40019,0.52124,0.32222
18.5121,-0.62273,-1.59087,0.15896,-0.68280,-1.04932,3.02117,0.40200,0.51969,0.32249
18.6120,-0.62642,-1.59425,0.16649,-0.68306,-1.04971,3.01751,0.40385,0.51809,0.32295
18.7131,-0.62926,-1.59700,0.17284,-0.68214,-1.05073,3.01385,0.40523,0.51684,0.32337
18.8121,-0.63310,-1.59946,0.18019,-0.68208,-1.05115,3.00872,0.40712,0.51516,0.32437
18.9106,-0.63497,-1.60132,0.18659,-0.68063,-1.05342,3.00301,0.40795,0.51423,0.32534
19.0101,-0.63685,-1.60371,0.19415,-0.67894,-1.05672,2.99741,0.40876,0.51325,0.32635
19.1106,-0.63903,-1.60572,0.20132,-0.67710,-1.06024,2.99255,0.40970,0.51213,0.32747
19.2103,-0.64130,-1.60789,0.20889,-0.67505,-1.06333,2.98905,0.41067,0.51098,0.32862
19.3109,-0.64481,-1.60855,0.21649,-0.67443,-1.06635,2.98609,0.41227,0.50925,0.33081
19.4113,-0.64951,-1.61038,0.22476,-0.67483,-1.06853,2.98266,0.41450,0.50702,0.33251
19.5114,-0.65286,-1.61304,0.23118,-0.67617,-1.07166,2.98001,0.41608,0.50536,0.33300
19.6120,-0.65452,-1.61739,0.23726,-0.67771,-1.07465,2.97771,0.41685,0.50443,0.33228
19.7111,-0.65739,-1.61945,0.24244,-0.67925,-1.08006,2.97588,0.41817,0.50289,0.33269
19.8111,-0.65832,-1.62206,0.24838,-0.68083,-1.08396,2.97316,0.41853,0.50220,0.33303
19.9119,-0.66075,-1.62224,0.25468,-0.68256,-1.08723,2.97086,0.41959,0.50083,0.33510
20.0152,-0.66220,-1.62453,0.26050,-0.68769,-1.08985,2.96948,0.42027,0.49987,0.33573
20.1119,-0.66362,-1.62530,0.26609,-0.69147,-1.09469,2.96842,0.42086,0.49883,0.33718
20.2118,-0.66601,-1.62647,0.27173,-0.69646,-1.09940,2.96618,0.42195,0.49738,0.33842
20.3123,-0.66635,-1.62778,0.27693,-0.69889,-1.10530,2.96125,0.42198,0.49681,0.33932
20.4123,-0.66759,-1.62927,0.28224,-0.70301,-1.10957,2.95863,0.42249,0.49588,0.34022
20.5119,-0.66857,-1.63107,0.28684,-0.70598,-1.11371,2.95700,0.42288,0.49512,0.34065
